date_code,year_id,month_id,week_id,store_code,store_name,customer_name,channel,store_type,country,region,province,short_name,city,area,cluster,sub_channel,material,product_name,key_items,sku,style,division,gender,enduse,silhouette,sub_silhouette,fit_type,qty,lw_qty,lm_qty,amt,lw_amt,lm_amt,season_code,msrp,key_stories,product_line
2025-02-11,2025,202502,202545,DSBH_CHN_TMP1,Sparkling Office Store,SH Sparkling,FP,BH,Mainland,East,Jiangsu,TMP1,Suzhou,0.0000,,BH,1385128-002,UA Tour Tips Polo-GRY,Golf-Tour Tips,1385128-002-XXL,1385128,Apparel,Mens,Golf,Tops,Short-Sleeve Polos,Loose,1,,,439.00000,,,SS24,799.000,,Inline
2025-02-11,2025,202502,202545,DSFH_CHN_1468,Shijiazhuang Beiguo Outlet FH,HEBEI LICHI,FP,FH,Mainland,North,Hebei,1468,Shijazhuang,410.0000,OL,FH,1379861-001,UA Rival Fleece Hoodie,Others,1379861-001-MD,1379861,Apparel,Mens,Sportstyle,Tops,Fleece Tops,Loose,1,,,374.00000,,,FW23,499.000,Others,MFO
2025-02-11,2025,202502,202545,UAFH_CHN_1386R,Guangzhou Wanguo Plaza Outlet,Retail,O&O,FH,Mainland,South,Guangdong,GZWG,Guangzhou,522.0000,,FH,3026998-101,UA Charged Rogue 4,ROGUE,3026998-101-7.5,3026998,Footwear,Mens,Running,Performance Sneakers,Visual Cushioning,Regular,1,,,377.46000,,,FW24,699.000,,Inline
2025-02-11,2025,202502,202545,DSFH_CHN_2989,Nantong Chongchuan Maple Leaf Village Outlets FHHT,SH Sparkling,FP,FH,Mainland,East,Jiangsu,2989,Nantong,325.0000,OL,FH,1384126-543,UA Infinity Low Bra,Infinity,1384126-543-S A-C,1384126,Apparel,Womens,Training,Bras,Sport Bras,Fitted,1,,,209.00000,,,SS24,349.000,,Inline
2025-02-11,2025,202502,202545,586764,EC-TMALL Outlet,EC,EC,EC-CN,Mainland,,,EC-TMALL Outlet,,0.0000,,MarketPlace,1379677-390,UA Meridian Tapered Pants-3XL,Meridian,1379677-390-XL,1379677,Apparel,Mens,Training,Bottoms,Warmup Bottoms,Fitted,1,1,,264.53000,264.96000,,FW23,749.000,Meridian,Inline
2025-02-11,2025,202502,202545,DSFH_CHN_1515,YanCheng Golden Eagle outlet F,SH Sparkling,FP,FH,Mainland,East,Jiangsu,1515,Yancheng,244.0000,OL,FH,3027200-200,UA W Infinite Pro,INFINITE,3027200-200-6.5,3027200,Footwear,Womens,Running,Performance Sneakers,Technical Performance,Regular,1,,,659.00000,,,SS24,1099.000,,Inline
2025-02-11,2025,202502,202545,586764,EC-TMALL Outlet,EC,EC,EC-CN,Mainland,,,EC-TMALL Outlet,,0.0000,,MarketPlace,3027718-106,UA Forge 96 reissue-GRY,FORGE,3027718-106-9.5/11,3027718,Footwear,Unisex,Lifestyle,Casual Sneakers,Casual Visual Cushioning,Regular,1,,,300.00000,,,SS24,999.000,,Inline
2025-02-11,2025,202502,202545,DSBH_CHN_2595,Shenyang heping Taiyuan Street SF BHCC EVO,YY-SY,FP,BH,Mainland,YY,Liaoning,2595,Shenyang,506.0000,AA,BH,1361586-001,UA HG Armour Leggings,Armour HG,1361586-001-MD,1361586,Apparel,Mens,Training,Bottoms,Leggings,Compression,-1,,,-174.00000,,,SS25,349.000,,Inline
2025-02-11,2025,202502,202545,DSBH_CHN_TMP1,Sparkling Office Store,SH Sparkling,FP,BH,Mainland,East,Jiangsu,TMP1,Suzhou,0.0000,,BH,1383363-001,UA Laser Tank-BLK,Iso Chill Run,1383363-001-LG,1383363,Apparel,Womens,Running,Tops,Sleeveless,Loose,1,,,246.00000,,,FW24,449.000,,Inline
2025-02-11,2025,202502,202545,586764,EC-TMALL Outlet,EC,EC,EC-CN,Mainland,,,EC-TMALL Outlet,,0.0000,,MarketPlace,1383637-273,Rush Seamless SS-BRN,Rush Seamless,1383637-273-MD,1383637,Apparel,Womens,Training,Tops,Short-Sleeves,Fitted,1,,2,244.96000,,427.39000,SS24,549.000,,Inline
