store_sid,store_master_code,store_last_code,store_last_name,channel_sid,customer_sid,country,region,province,city,store_type,short_name,space,b1_wh,store_branch_type,ship_to_type,b1_code,store_id,replenishment_arrival_date,location_id,open_date,last_dis_manager,status,hdetl_date,update_date,process_log_id,area,cluster,close_date,sit_code,comp_keep,source_sys,sap_customer_code,store_local_name,address1,address2,phone1,zip,phone2,store_no,subchannel
311,TWN_0906,DSBH_TWN_0906,Tainan Zhongshan Gate City  Store SF,2,22,Taiwan,APAC,Taiwan,Tainan,BH,0906,376.9000,,,,,,,,2017-07-22 00:00:00,Judith chen,Close,2025-02-17 13:33:26.109554,2025-02-17 05:35:13.173347,-1,376.9000,C,2024-03-10 00:00:00,,,Data_Collect_TW : store_20250217.csv,0013163268,,,,,,,,
627,TWN_1324,DSFH_TWN_1324,Taichung Wuchi Mitsui FH,2,22,Taiwan,APAC,Taiwan,Taichung,FH,1324,380.7000,,,,,7Q11,,,2018-11-29 00:00:00,Judith chen,Open,2025-02-17 13:33:26.109554,2025-02-17 05:35:13.173347,-1,380.7000,C,9999-12-31 00:00:00,,,Data_Collect_TW : store_20250217.csv,0013163268,,,,,,,,
312,TWN_0907,DSBH_TWN_0907,Taoyuan Chungyue SF,2,22,Taiwan,APAC,Taiwan,Taoyuan,BH,0907,656.2000,,,,,,,,2017-10-10 00:00:00,Judith chen,Close,2025-02-17 13:33:26.109554,2025-02-17 05:35:13.173347,-1,656.2000,C,2022-05-18 00:00:00,,,Data_Collect_TW : store_20250217.csv,0013163268,,,,,,,,
1946,TWN_1756,DSBH_TWN_1756,Xin Yi Uni Present DS,2,22,Taiwan,APAC,Taiwan,Taipei,BH,1756,134.0000,,,,,,,,2020-03-12 00:00:00,Judith chen,Open,2025-02-17 13:33:26.109554,2025-02-17 05:35:13.173347,-1,134.0000,C,9999-12-31 00:00:00,,,Data_Collect_TW : store_20250217.csv,0013163268,,,,,,,,
367,TWN_0630,DSBH_TWN_0630R,Kaohsiung IH Chiancheng Dreammall SM - Relocation DS,2,22,Taiwan,APAC,Taiwan,Kaohsiung,BH,0630,283.1000,,,,,,,,2017-10-28 00:00:00,Judith chen,Open,2025-02-17 13:33:26.109554,2025-02-17 05:35:13.173347,-1,283.1000,C,9999-12-31 00:00:00,,,Data_Collect_TW : store_20250217.csv,0013163268,,,,,,,,
1048,150000022,150000022,EC-Brand SITE TW,1,23,Taiwan,,,,EC-TW,EC-Brand SITE TW,0.0000,,,,,,,,2010-01-01 00:00:00,,closed,2025-02-17 05:34:19,2025-02-17 05:35:13.173347,-1,0.0000,,2021-03-31 00:00:00,,,EC_UBH : TableName:UBH_DIM_STORE_EC,,,,,,,,,
382,TWN_1014,DSFH_TWN_1014,Kaohsiung Nanzi FH,2,22,Taiwan,APAC,Taiwan,Kaohsiung,FH,1014,755.5000,,,,,,,,2018-02-10 00:00:00,Judith chen,Open,2025-02-17 13:33:26.109554,2025-02-17 05:35:13.173347,-1,755.5000,C,9999-12-31 00:00:00,,,Data_Collect_TW : store_20250217.csv,0013163268,,,,,,,,
13,TWN_0151,DSBH_TWN_0151E,"Taipei Daan Chungxiao SOGO DS  ",2,22,Taiwan,APAC,Taiwan,Taipei,BH,0151,57.9000,,,,,,,,2015-10-15 00:00:00,Judith chen,Open,2025-02-17 13:33:26.109554,2025-02-17 05:35:13.173347,-1,57.9000,C,9999-12-31 00:00:00,,,Data_Collect_TW : store_20250217.csv,0013163268,,,,,,,,
391,TWN_1065,DSBH_TWN_1065,Taichung Yichung Taiping SF,2,22,Taiwan,APAC,Taiwan,Taichung,BH,1065,381.3000,,,,,,,,2017-12-22 00:00:00,Judith chen,Open,2025-02-17 13:33:26.109554,2025-02-17 05:35:13.173347,-1,381.3000,C,9999-12-31 00:00:00,,,Data_Collect_TW : store_20250217.csv,0013163268,,,,,,,,
24,TWN_0172,DSBH_TWN_0172R,Taichung North Chungyo DS Relocation DS,2,22,Taiwan,APAC,Taiwan,Taichung,BH,0172,114.0000,,,,,,,,2016-07-16 00:00:00,Judith chen,Open,2025-02-17 13:33:26.109554,2025-02-17 05:35:13.173347,-1,114.0000,C,9999-12-31 00:00:00,,,Data_Collect_TW : store_20250217.csv,0013163268,,,,,,,,
3043,TWN_2072,DSFH_TWN_2072,Tainan Mitsui FH,2,22,Taiwan,,Taiwan,Tainan,FH,2072,288.6000,,,,,,,,2022-02-16 00:00:00,Judith chen,Open,2025-02-17 13:33:26.109554,2025-02-17 05:35:13.173347,-1,288.6000,,9999-12-31 00:00:00,,,Data_Collect_TW : store_20250217.csv,,,,,,,,,
